,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
18280,"West Virginia ...............     1,427,372","803,157      56.3       756,211      53.0       46,946      5.8"
18281,"Wisconsin ...................     4,157,408","3,015,033      72.5     2,850,567      68.6      164,466      5.5"
18282,"Wyoming .....................       378,036","268,927      71.1       258,160      68.3       10,767      4.0"
18283,,
18284,,
18285,,April 2002
18286,,
18287,,
18288,"Alabama .....................     3,400,511","2,101,696      61.8     1,976,039      58.1      125,657      6.0"
18289,"Alaska ......................       450,277","325,032      72.2       301,737      67.0       23,295      7.2"
18290,"Arizona .....................     4,040,671","2,665,340      66.0     2,502,499      61.9      162,841      6.1"
18291,"Arkansas ....................     2,049,502","1,268,600      61.9     1,198,134      58.5       70,466      5.6"
18292,"California ..................    25,806,595","17,245,819      66.8    16,101,941      62.4    1,143,878      6.6"
18293,"Los Angeles County .......     7,203,984","4,756,580      66.0     4,426,353      61.4      330,227      6.9"
18294,"Colorado ....................     3,394,409","2,436,172      71.8     2,301,814      67.8      134,358      5.5"
18295,"Connecticut .................     2,627,024","1,765,876      67.2     1,697,915      64.6       67,961      3.8"
18296,"Delaware ....................       611,183","418,853      68.5       401,522      65.7       17,331      4.1"
18297,"District of Columbia ........       461,675","307,670      66.6       287,765      62.3       19,905      6.5"
18298,"Florida .....................    12,937,202","8,085,225      62.5     7,617,229      58.9      467,996      5.8"
18299,"Georgia .....................     6,324,507","4,306,982      68.1     4,088,510      64.6      218,472      5.1"
18300,"Hawaii ......................       913,296","601,660      65.9       574,734      62.9       26,926      4.5"
18301,"Idaho .......................       984,072","683,265      69.4       644,596      65.5       38,669      5.7"
18302,"Illinois ....................     9,451,880","6,378,638      67.5     5,957,701      63.0      420,937      6.6"
18303,"Indiana .....................     4,649,772","3,163,949      68.0     2,994,416      64.4      169,533      5.4"
18304,"Iowa ........................     2,244,508","1,640,889      73.1     1,575,696      70.2       65,193      4.0"
18305,"Kansas ......................     2,024,833","1,406,863      69.5     1,335,839      66.0       71,024      5.0"
18306,"Kentucky ....................     3,123,099","1,942,987      62.2     1,833,794      58.7      109,193      5.6"
18307,"Louisiana ...................     3,305,599","1,999,408      60.5     1,877,290      56.8      122,118      6.1"
18308,"Maine .......................     1,013,225","673,143      66.4       644,614      63.6       28,529      4.2"
18309,"Maryland ....................     4,094,526","2,870,846      70.1     2,740,445      66.9      130,401      4.5"
18310,"Massachusetts ...............     4,998,907","3,425,697      68.5     3,250,147      65.0      175,550      5.1"
18311,"Michigan ....................     7,609,548","5,027,146      66.1     4,705,863      61.8      321,283      6.4"
18312,"Minnesota ...................     3,813,741","2,860,264      75.0     2,727,633      71.5      132,631      4.6"
18313,"Mississippi .................     2,109,787","1,285,109      60.9     1,198,754      56.8       86,355      6.7"
18314,"Missouri ....................     4,301,583","2,998,049      69.7     2,833,660      65.9      164,389      5.5"
18315,"Montana .....................       698,307","466,131      66.8       445,312      63.8       20,819      4.5"
18316,"Nebraska ....................     1,296,857","953,028      73.5       918,045      70.8       34,983      3.7"
18317,"Nevada ......................     1,623,098","1,127,097      69.4     1,061,424      65.4       65,673      5.8"
18318,"New Hampshire ...............       977,104","700,845      71.7       669,534      68.5       31,311      4.5"
18319,"New Jersey ..................     6,525,347","4,347,948      66.6     4,095,751      62.8      252,197      5.8"
18320,"New Mexico ..................     1,368,206","871,297      63.7       823,026      60.2       48,271      5.5"
18321,"New York ....................    14,712,306","9,263,603      63.0     8,683,503      59.0      580,100      6.3"
18322,"New York city ............     6,274,744","3,700,304      59.0     3,402,793      54.2      297,511      8.0"
18323,"North Carolina ..............     6,268,081","4,191,758      66.9     3,905,396      62.3      286,362      6.8"
18324,"North Dakota ................       484,459","340,685      70.3       327,939      67.7       12,746      3.7"
18325,"Ohio ........................     8,698,086","5,856,527      67.3     5,513,808      63.4      342,719      5.9"
18326,"Oklahoma ....................     2,606,960","1,690,086      64.8     1,612,848      61.9       77,238      4.6"
18327,"Oregon ......................     2,712,033","1,831,456      67.5     1,691,574      62.4      139,882      7.6"
18328,"Pennsylvania ................     9,546,247","6,226,081      65.2     5,874,083      61.5      351,998      5.7"
18329,"Rhode Island ................       826,076","547,532      66.3       520,853      63.1       26,679      4.9"
18330,"South Carolina ..............     3,090,857","1,941,025      62.8     1,828,234      59.1      112,791      5.8"
18331,"South Dakota ................       569,935","416,203      73.0       402,688      70.7       13,515      3.2"
18332,"Tennessee ...................     4,434,095","2,903,401      65.5     2,745,246      61.9      158,155      5.4"
18333,"Texas .......................    15,719,749","10,701,117      68.1    10,026,219      63.8      674,898      6.3"
18334,"Utah ........................     1,648,148","1,181,898      71.7     1,113,903      67.6       67,995      5.8"
18335,"Vermont .....................       482,348","342,557      71.0       329,232      68.3       13,325      3.9"
18336,"Virginia ....................     5,438,518","3,714,103      68.3     3,555,752      65.4      158,351      4.3"
18337,"Washington ..................     4,587,299","3,071,258      67.0     2,840,344      61.9      230,914      7.5"
18338,"West Virginia ...............     1,427,380","802,386      56.2       754,657      52.9       47,729      5.9"
18339,"Wisconsin ...................     4,160,519","3,016,252      72.5     2,852,446      68.6      163,806      5.4"
18340,"Wyoming .....................       378,392","268,935      71.1       258,089      68.2       10,846      4.0"
18341,,
18342,,
18343,,May 2002
18344,,
18345,,
18346,"Alabama .....................     3,401,328","2,101,698      61.8     1,977,060      58.1      124,638      5.9"
18347,"Alaska ......................       451,047","325,471      72.2       301,790      66.9       23,681      7.3"
18348,"Arizona .....................     4,049,916","2,673,923      66.0     2,509,479      62.0      164,444      6.1"
18349,"Arkansas ....................     2,050,547","1,271,388      62.0     1,201,396      58.6       69,992      5.5"
18350,"California ..................    25,833,940","17,256,450      66.8    16,109,272      62.4    1,147,178      6.6"
18351,"Los Angeles County .......     7,210,652","4,754,188      65.9     4,425,062      61.4      329,126      6.9"
18352,"Colorado ....................     3,399,138","2,439,827      71.8     2,305,162      67.8      134,665      5.5"
18353,"Connecticut .................     2,628,719","1,769,812      67.3     1,698,274      64.6       71,538      4.0"
18354,"Delaware ....................       611,867","417,988      68.3       400,689      65.5       17,299      4.1"
18355,"District of Columbia ........       461,658","307,294      66.6       287,609      62.3       19,685      6.4"
18356,"Florida .....................    12,959,162","8,098,095      62.5     7,635,413      58.9      462,682      5.7"
18357,"Georgia .....................     6,334,589","4,315,919      68.1     4,098,495      64.7      217,424      5.0"
18358,"Hawaii ......................       913,889","600,777      65.7       574,816      62.9       25,961      4.3"
18359,"Idaho .......................       985,659","683,588      69.4       645,407      65.5       38,181      5.6"
18360,"Illinois ....................     9,456,254","6,367,557      67.3     5,945,768      62.9      421,789      6.6"
18361,"Indiana .....................     4,651,908","3,169,536      68.1     3,001,795      64.5      167,741      5.3"
18362,"Iowa ........................     2,245,018","1,643,266      73.2     1,577,831      70.3       65,435      4.0"
18363,"Kansas ......................     2,026,012","1,409,936      69.6     1,338,622      66.1       71,314      5.1"
18364,"Kentucky ....................     3,125,031","1,941,933      62.1     1,833,835      58.7      108,098      5.6"
18365,"Louisiana ...................     3,306,659","2,000,002      60.5     1,878,570      56.8      121,432      6.1"
18366,"Maine .......................     1,014,188","674,111      66.5       645,262      63.6       28,849      4.3"
18367,"Maryland ....................     4,099,229","2,871,170      70.0     2,742,372      66.9      128,798      4.5"
18368,"Massachusetts ...............     5,001,592","3,431,211      68.6     3,252,000      65.0      179,211      5.2"
18369,"Michigan ....................     7,613,320","5,022,531      66.0     4,703,694      61.8      318,837      6.3"
18370,"Minnesota ...................     3,817,273","2,860,212      74.9     2,728,728      71.5      131,484      4.6"
18371,"Mississippi .................     2,110,317","1,284,793      60.9     1,199,497      56.8       85,296      6.6"
18372,"Missouri ....................     4,304,730","2,999,985      69.7     2,835,407      65.9      164,578      5.5"
18373,"Montana .....................       698,870","466,308      66.7       445,677      63.8       20,631      4.4"
18374,"Nebraska ....................     1,297,541","953,464      73.5       918,455      70.8       35,009      3.7"
18375,"Nevada ......................     1,627,566","1,128,074      69.3     1,063,474      65.3       64,600      5.7"
18376,"New Hampshire ...............       978,369","701,366      71.7       669,949      68.5       31,417      4.5"
18377,"New Jersey ..................     6,529,085","4,347,336      66.6     4,095,001      62.7      252,335      5.8"
18378,"New Mexico ..................     1,369,866","873,285      63.7       824,465      60.2       48,820      5.6"
18379,"New York ....................    14,719,348","9,275,952      63.0     8,699,645      59.1      576,307      6.2"
18380,"New York city ............     6,277,309","3,702,421      59.0     3,405,540      54.3      296,881      8.0"
18381,"North Carolina ..............     6,274,796","4,191,385      66.8     3,908,483      62.3      282,902      6.7"
18382,"North Dakota ................       484,485","340,792      70.3       327,951      67.7       12,841      3.8"
18383,"Ohio ........................     8,701,460","5,856,509      67.3     5,514,375      63.4      342,134      5.8"
18384,"Oklahoma ....................     2,608,481","1,689,101      64.8     1,612,294      61.8       76,807      4.5"
18385,"Oregon ......................     2,715,529","1,831,972      67.5     1,695,253      62.4      136,719      7.5"
18386,"Pennsylvania ................     9,549,866","6,228,490      65.2     5,877,812      61.5      350,678      5.6"
18387,"Rhode Island ................       826,768","548,259      66.3       521,378      63.1       26,881      4.9"
18388,"South Carolina ..............     3,093,596","1,944,162      62.8     1,832,153      59.2      112,009      5.8"
18389,"South Dakota ................       570,347","416,707      73.1       403,528      70.8       13,179      3.2"
18390,"Tennessee ...................     4,437,612","2,905,781      65.5     2,753,392      62.0      152,389      5.2"
18391,"Texas .......................    15,742,777","10,725,163      68.1    10,044,638      63.8      680,525      6.3"
18392,"Utah ........................     1,651,119","1,182,607      71.6     1,113,771      67.5       68,836      5.8"
18393,"Vermont .....................       482,761","343,102      71.1       329,625      68.3       13,477      3.9"
18394,"Virginia ....................     5,444,702","3,723,149      68.4     3,564,919      65.5      158,230      4.2"
18395,"Washington ..................     4,592,891","3,077,864      67.0     2,847,834      62.0      230,030      7.5"
18396,"West Virginia ...............     1,427,582","801,550      56.1       753,499      52.8       48,051      6.0"
18397,"Wisconsin ...................     4,164,122","3,017,914      72.5     2,855,328      68.6      162,586      5.4"
18398,"Wyoming .....................       378,808","268,953      71.0       258,119      68.1       10,834      4.0"
18399,,
18400,,
18401,,June 2002
18402,,
18403,,
18404,"Alabama .....................     3,402,356","2,102,827      61.8     1,979,125      58.2      123,702      5.9"
18405,"Alaska ......................       451,808","325,921      72.1       301,917      66.8       24,004      7.4"
18406,"Arizona .....................     4,059,426","2,682,097      66.1     2,516,621      62.0      165,476      6.2"
18407,"Arkansas ....................     2,051,705","1,273,564      62.1     1,204,211      58.7       69,353      5.4"
18408,"California ..................    25,863,088","17,266,132      66.8    16,118,157      62.3    1,147,975      6.6"
18409,"Los Angeles County .......     7,217,333","4,752,729      65.9     4,426,875      61.3      325,854      6.9"
18410,"Colorado ....................     3,404,075","2,443,731      71.8     2,308,771      67.8      134,960      5.5"
18411,"Connecticut .................     2,630,600","1,773,887      67.4     1,698,674      64.6       75,213      4.2"
18412,"Delaware ....................       612,606","417,078      68.1       399,975      65.3       17,103      4.1"
18413,"District of Columbia ........       461,677","306,666      66.4       287,235      62.2       19,431      6.3"
18414,"Florida .....................    12,981,925","8,113,558      62.5     7,655,811      59.0      457,747      5.6"
18415,"Georgia .....................     6,344,978","4,325,008      68.2     4,109,382      64.8      215,626      5.0"
18416,"Hawaii ......................       914,553","600,235      65.6       575,022      62.9       25,213      4.2"
18417,"Idaho .......................       987,341","683,942      69.3       646,306      65.5       37,636      5.5"
18418,"Illinois ....................     9,461,164","6,356,257      67.2     5,935,687      62.7      420,570      6.6"
18419,"Indiana .....................     4,654,304","3,175,468      68.2     3,009,878      64.7      165,590      5.2"
18420,"Iowa ........................     2,245,696","1,644,665      73.2     1,579,129      70.3       65,536      4.0"
18421,"Kansas ......................     2,027,326","1,413,079      69.7     1,341,523      66.2       71,556      5.1"
18422,"Kentucky ....................     3,127,066","1,941,692      62.1     1,834,055      58.7      107,637      5.5"
18423,"Louisiana ...................     3,307,869","2,001,842      60.5     1,880,711      56.9      121,131      6.1"
18424,"Maine .......................     1,015,204","675,067      66.5       645,978      63.6       29,089      4.3"
18425,"Maryland ....................     4,104,114","2,871,039      70.0     2,744,140      66.9      126,899      4.4"
18426,"Massachusetts ...............     5,004,538","3,436,297      68.7     3,253,910      65.0      182,387      5.3"
18427,"Michigan ....................     7,617,506","5,018,516      65.9     4,703,392      61.7      315,124      6.3"
18428,"Minnesota ...................     3,821,031","2,860,082      74.9     2,730,401      71.5      129,681      4.5"
18429,"Mississippi .................     2,111,014","1,284,828      60.9     1,200,617      56.9       84,211      6.6"
18430,"Missouri ....................     4,308,070","3,001,649      69.7     2,838,103      65.9      163,546      5.4"
18431,"Montana .....................       699,484","466,509      66.7       446,126      63.8       20,383      4.4"
18432,"Nebraska ....................     1,298,295","953,892      73.5       918,981      70.8       34,911      3.7"
18433,"Nevada ......................     1,632,156","1,129,034      69.2     1,065,500      65.3       63,534      5.6"
18434,"New Hampshire ...............       979,672","701,957      71.7       670,472      68.4       31,485      4.5"
18435,"New Jersey ..................     6,533,268","4,346,669      66.5     4,095,257      62.7      251,412      5.8"
18436,"New Mexico ..................     1,371,676","874,980      63.8       825,900      60.2       49,080      5.6"
18437,"New York ....................    14,727,246","9,286,050      63.1     8,716,472      59.2      569,578      6.1"
18438,"New York city ............     6,279,824","3,702,936      59.0     3,408,358      54.3      294,578      8.0"
18439,"North Carolina ..............     6,281,887","4,190,725      66.7     3,912,400      62.3      278,325      6.6"
18440,"North Dakota ................       484,549","340,817      70.3       327,961      67.7       12,856      3.8"
18441,"Ohio ........................     8,705,279","5,855,518      67.3     5,516,589      63.4      338,929      5.8"
18442,"Oklahoma ....................     2,610,169","1,687,780      64.7     1,611,349      61.7       76,431      4.5"
18443,"Oregon ......................     2,719,230","1,833,461      67.4     1,699,185      62.5      134,276      7.3"
18444,"Pennsylvania ................     9,554,009","6,229,132      65.2     5,881,236      61.6      347,896      5.6"
18445,"Rhode Island ................       827,595","549,061      66.3       521,963      63.1       27,098      4.9"
18446,"South Carolina ..............     3,096,466","1,947,433      62.9     1,836,245      59.3      111,188      5.7"
18447,"South Dakota ................       570,782","417,247      73.1       404,366      70.8       12,881      3.1"
18448,"Tennessee ...................     4,441,378","2,908,418      65.5     2,761,363      62.2      147,055      5.1"
18449,"Texas .......................    15,766,911","10,749,742      68.2    10,065,271      63.8      684,471      6.4"
18450,"Utah ........................     1,654,153","1,183,447      71.5     1,113,976      67.3       69,471      5.9"
18451,"Vermont .....................       483,209","343,487      71.1       329,880      68.3       13,607      4.0"
18452,"Virginia ....................     5,451,225","3,731,744      68.5     3,574,268      65.6      157,476      4.2"
18453,"Washington ..................     4,598,753","3,084,674      67.1     2,856,060      62.1      228,614      7.4"
18454,"West Virginia ...............     1,427,862","800,727      56.1       752,707      52.7       48,020      6.0"
18455,"Wisconsin ...................     4,167,960","3,020,202      72.5     2,859,019      68.6      161,183      5.3"
18456,"Wyoming .....................       379,237","269,001      70.9       258,240      68.1       10,761      4.0"
18457,,
18458,,
18459,,July 2002
18460,,
18461,,
18462,"Alabama .....................     3,403,420","2,104,604      61.8     1,981,669      58.2      122,935      5.8"
18463,"Alaska ......................       452,597","326,427      72.1       302,187      66.8       24,240      7.4"
18464,"Arizona .....................     4,068,974","2,689,164      66.1     2,523,091      62.0      166,073      6.2"
18465,"Arkansas ....................     2,052,905","1,274,997      62.1     1,206,237      58.8       68,760      5.4"
18466,"California ..................    25,892,172","17,272,995      66.7    16,124,848      62.3    1,148,147      6.6"
18467,"Los Angeles County .......     7,224,017","4,751,443      65.8     4,430,358      61.3      321,085      6.8"
18468,"Colorado ....................     3,409,041","2,447,093      71.8     2,311,774      67.8      135,319      5.5"
18469,"Connecticut .................     2,632,445","1,777,664      67.5     1,698,756      64.5       78,908      4.4"
18470,"Delaware ....................       613,315","416,167      67.9       399,349      65.1       16,818      4.0"
18471,"District of Columbia ........       461,714","305,894      66.3       286,696      62.1       19,198      6.3"
18472,"Florida .....................    13,004,706","8,128,237      62.5     7,675,185      59.0      453,052      5.6"
18473,"Georgia .....................     6,355,530","4,333,585      68.2     4,119,610      64.8      213,975      4.9"
18474,"Hawaii ......................       915,205","599,813      65.5       575,288      62.9       24,525      4.1"
18475,"Idaho .......................       988,987","684,374      69.2       647,131      65.4       37,243      5.4"
18476,"Illinois ....................     9,466,124","6,344,278      67.0     5,926,355      62.6      417,923      6.6"
18477,"Indiana .....................     4,656,712","3,180,125      68.3     3,016,720      64.8      163,405      5.1"
18478,"Iowa ........................     2,246,337","1,644,682      73.2     1,579,162      70.3       65,520      4.0"
18479,"Kansas ......................     2,028,625","1,416,003      69.8     1,344,178      66.3       71,825      5.1"
18480,"Kentucky ....................     3,129,155","1,941,963      62.1     1,834,187      58.6      107,776      5.5"
18481,"Louisiana ...................     3,309,155","2,004,004      60.6     1,882,708      56.9      121,296      6.1"
18482,"Maine .......................     1,016,191","675,858      66.5       646,588      63.6       29,270      4.3"
18483,"Maryland ....................     4,109,054","2,870,717      69.9     2,745,583      66.8      125,134      4.4"
18484,"Massachusetts ...............     5,007,522","3,440,226      68.7     3,255,164      65.0      185,062      5.4"
18485,"Michigan ....................     7,621,745","5,013,844      65.8     4,703,289      61.7      310,555      6.2"
18486,"Minnesota ...................     3,824,792","2,859,793      74.8     2,732,182      71.4      127,611      4.5"
18487,"Mississippi .................     2,111,700","1,285,104      60.9     1,201,727      56.9       83,377      6.5"
18488,"Missouri ....................     4,311,449","3,002,861      69.6     2,841,131      65.9      161,730      5.4"
18489,"Montana .....................       700,089","466,820      66.7       446,655      63.8       20,165      4.3"
18490,"Nebraska ....................     1,299,061","954,209      73.5       919,438      70.8       34,771      3.6"
18491,"Nevada ......................     1,636,758","1,129,966      69.0     1,067,410      65.2       62,556      5.5"
18492,"New Hampshire ...............       980,968","702,615      71.6       671,031      68.4       31,584      4.5"
18493,"New Jersey ..................     6,537,458","4,346,306      66.5     4,095,762      62.7      250,544      5.8"
18494,"New Mexico ..................     1,373,468","876,327      63.8       827,244      60.2       49,083      5.6"
18495,"New York ....................    14,735,197","9,292,936      63.1     8,730,281      59.2      562,655      6.1"
18496,"New York city ............     6,282,380","3,702,860      58.9     3,410,622      54.3      292,238      7.9"
18497,"North Carolina ..............     6,289,023","4,189,008      66.6     3,915,272      62.3      273,736      6.5"
18498,"North Dakota ................       484,597","340,790      70.3       327,958      67.7       12,832      3.8"
18499,"Ohio ........................     8,709,127","5,853,436      67.2     5,518,780      63.4      334,656      5.7"
18500,"Oklahoma ....................     2,611,859","1,686,159      64.6     1,609,817      61.6       76,342      4.5"
18501,"Oregon ......................     2,722,882","1,835,482      67.4     1,702,519      62.5      132,963      7.2"
18502,"Pennsylvania ................     9,558,096","6,227,784      65.2     5,882,499      61.5      345,285      5.5"
18503,"Rhode Island ................       828,345","549,992      66.4       522,661      63.1       27,331      5.0"
18504,"South Carolina ..............     3,099,393","1,950,188      62.9     1,839,764      59.4      110,424      5.7"
18505,"South Dakota ................       571,214","417,775      73.1       405,084      70.9       12,691      3.0"
18506,"Tennessee ...................     4,445,160","2,910,604      65.5     2,767,778      62.3      142,826      4.9"
18507,"Texas .......................    15,791,186","10,771,961      68.2    10,084,917      63.9      687,044      6.4"
18508,"Utah ........................     1,657,216","1,184,683      71.5     1,114,742      67.3       69,941      5.9"
18509,"Vermont .....................       483,617","343,733      71.1       329,998      68.2       13,735      4.0"
18510,"Virginia ....................     5,457,742","3,738,523      68.5     3,582,081      65.6      156,442      4.2"
18511,"Washington ..................     4,604,606","3,090,729      67.1     2,863,606      62.2      227,123      7.3"
18512,"West Virginia ...............     1,428,122","799,907      56.0       752,065      52.7       47,842      6.0"
18513,"Wisconsin ...................     4,171,808","3,023,036      72.5     2,862,953      68.6      160,083      5.3"
18514,"Wyoming .....................       379,662","269,117      70.9       258,426      68.1       10,691      4.0"
18515,,
18516,,
18517,,August 2002
18518,,
18519,,
18520,"Alabama .....................     3,405,507","2,106,792      61.9     1,984,310      58.3      122,482      5.8"
18521,"Alaska ......................       453,243","327,024      72.2       302,624      66.8       24,400      7.5"
18522,"Arizona .....................     4,078,506","2,694,734      66.1     2,528,429      62.0      166,305      6.2"
18523,"Arkansas ....................     2,054,532","1,275,846      62.1     1,207,454      58.8       68,392      5.4"
18524,"California ..................    25,923,440","17,277,546      66.6    16,127,877      62.2    1,149,669      6.7"
18525,"Los Angeles County .......     7,229,753","4,749,941      65.7     4,433,823      61.3      316,118      6.7"
18526,"Colorado ....................     3,413,275","2,449,681      71.8     2,313,877      67.8      135,804      5.5"
18527,"Connecticut .................     2,634,571","1,780,893      67.6     1,698,377      64.5       82,516      4.6"
18528,"Delaware ....................       614,168","415,317      67.6       398,800      64.9       16,517      4.0"
18529,"District of Columbia ........       461,715","305,119      66.1       286,071      62.0       19,048      6.2"
18530,"Florida .....................    13,027,230","8,140,435      62.5     7,691,633      59.0      448,802      5.5"
18531,"Georgia .....................     6,365,990","4,341,903      68.2     4,128,462      64.9      213,441      4.9"
18532,"Hawaii ......................       915,763","599,445      65.5       575,600      62.9       23,845      4.0"
18533,"Idaho .......................       990,626","684,966      69.1       647,855      65.4       37,111      5.4"
18534,"Illinois ....................     9,471,904","6,332,078      66.9     5,917,303      62.5      414,775      6.6"
18535,"Indiana .....................     4,660,120","3,182,504      68.3     3,021,222      64.8      161,282      5.1"
18536,"Iowa ........................     2,247,235","1,643,205      73.1     1,577,698      70.2       65,507      4.0"
18537,"Kansas ......................     2,030,028","1,418,491      69.9     1,346,404      66.3       72,087      5.1"
18538,"Kentucky ....................     3,132,038","1,942,520      62.0     1,834,107      58.6      108,413      5.6"
18539,"Louisiana ...................     3,311,148","2,005,979      60.6     1,884,136      56.9      121,843      6.1"
18540,"Maine .......................     1,017,263","676,473      66.5       647,019      63.6       29,454      4.4"
18541,"Maryland ....................     4,113,818","2,870,484      69.8     2,746,687      66.8      123,797      4.3"
18542,"Massachusetts ...............     5,010,165","3,442,553      68.7     3,255,316      65.0      187,237      5.4"
18543,"Michigan ....................     7,626,953","5,008,678      65.7     4,702,293      61.7      306,385      6.1"
18544,"Minnesota ...................     3,828,391","2,859,536      74.7     2,733,638      71.4      125,898      4.4"
18545,"Mississippi .................     2,112,746","1,285,695      60.9     1,202,637      56.9       83,058      6.5"
18546,"Missouri ....................     4,315,054","3,004,047      69.6     2,844,067      65.9      159,980      5.3"
18547,"Montana .....................       700,879","467,293      66.7       447,223      63.8       20,070      4.3"
18548,"Nebraska ....................     1,299,957","954,553      73.4       919,876      70.8       34,677      3.6"
18549,"Nevada ......................     1,641,510","1,130,939      68.9     1,069,243      65.1       61,696      5.5"
18550,"New Hampshire ...............       982,164","703,306      71.6       671,570      68.4       31,736      4.5"
18551,"New Jersey ..................     6,541,685","4,346,687      66.4     4,096,141      62.6      250,546      5.8"
18552,"New Mexico ..................     1,375,264","877,426      63.8       828,449      60.2       48,977      5.6"
18553,"New York ....................    14,745,511","9,297,709      63.1     8,739,159      59.3      558,550      6.0"
18554,"New York city ............     6,285,603","3,703,809      58.9     3,412,038      54.3      291,771      7.9"
18555,"North Carolina ..............     6,296,297","4,186,285      66.5     3,915,967      62.2      270,318      6.5"
18556,"North Dakota ................       484,725","340,739      70.3       327,946      67.7       12,793      3.8"
18557,"Ohio ........................     8,714,246","5,851,362      67.1     5,520,268      63.3      331,094      5.7"
18558,"Oklahoma ....................     2,613,541","1,684,724      64.5     1,607,848      61.5       76,876      4.6"
18559,"Oregon ......................     2,726,154","1,837,468      67.4     1,704,680      62.5      132,788      7.2"
18560,"Pennsylvania ................     9,563,962","6,224,827      65.1     5,880,430      61.5      344,397      5.5"
18561,"Rhode Island ................       829,021","551,118      66.5       523,506      63.1       27,612      5.0"
18562,"South Carolina ..............     3,102,735","1,952,687      62.9     1,842,425      59.4      110,262      5.6"
18563,"South Dakota ................       571,710","418,292      73.2       405,648      71.0       12,644      3.0"
18564,"Tennessee ...................     4,449,931","2,912,054      65.4     2,771,928      62.3      140,126      4.8"
18565,"Texas .......................    15,815,630","10,790,555      68.2    10,101,364      63.9      689,191      6.4"
18566,"Utah ........................     1,660,075","1,186,303      71.5     1,116,043      67.2       70,260      5.9"
18567,"Vermont .....................       484,042","343,910      71.0       330,018      68.2       13,892      4.0"
18568,"Virginia ....................     5,463,319","3,743,211      68.5     3,587,564      65.7      155,647      4.2"
18569,"Washington ..................     4,609,900","3,095,392      67.1     2,869,476      62.2      225,916      7.3"
18570,"West Virginia ...............     1,428,658","799,060      55.9       751,397      52.6       47,663      6.0"
18571,"Wisconsin ...................     4,175,782","3,026,548      72.5     2,866,747      68.7      159,801      5.3"
18572,"Wyoming .....................       379,950","269,362      70.9       258,670      68.1       10,692      4.0"
18573,,
18574,,
18575,,September 2002
18576,,
18577,,
18578,"Alabama .....................     3,407,668","2,109,245      61.9     1,986,849      58.3      122,396      5.8"
18579,"Alaska ......................       453,876","327,699      72.2       303,168      66.8       24,531      7.5"
18580,"Arizona .....................     4,088,189","2,698,786      66.0     2,532,559      61.9      166,227      6.2"
18581,"Arkansas ....................     2,056,241","1,276,294      62.1     1,207,906      58.7       68,388      5.4"
18582,"California ..................    25,955,547","17,280,761      66.6    16,126,530      62.1    1,154,231      6.7"
18583,"Los Angeles County .......     7,235,443","4,748,415      65.6     4,435,866      61.3      312,549      6.6"
18584,"Colorado ....................     3,417,582","2,451,709      71.7     2,315,156      67.7      136,553      5.6"
18585,"Connecticut .................     2,636,738","1,783,548      67.6     1,697,599      64.4       85,949      4.8"
18586,"Delaware ....................       615,047","414,573      67.4       398,280      64.8       16,293      3.9"
18587,"District of Columbia ........       461,696","304,436      65.9       285,411      61.8       19,025      6.2"
18588,"Florida .....................    13,050,162","8,149,610      62.4     7,703,939      59.0      445,671      5.5"
18589,"Georgia .....................     6,376,576","4,350,017      68.2     4,135,699      64.9      214,318      4.9"
18590,"Hawaii ......................       916,404","599,174      65.4       575,964      62.9       23,210      3.9"
18591,"Idaho .......................       992,340","685,713      69.1       648,533      65.4       37,180      5.4"
18592,"Illinois ....................     9,477,986","6,320,656      66.7     5,908,153      62.3      412,503      6.5"
18593,"Indiana .....................     4,663,649","3,182,517      68.2     3,023,022      64.8      159,495      5.0"
18594,"Iowa ........................     2,248,220","1,640,331      73.0     1,574,692      70.0       65,639      4.0"
18595,"Kansas ......................     2,031,501","1,420,443      69.9     1,348,194      66.4       72,249      5.1"
18596,"Kentucky ....................     3,135,036","1,943,301      62.0     1,833,682      58.5      109,619      5.6"
18597,"Louisiana ...................     3,313,261","2,007,885      60.6     1,885,167      56.9      122,718      6.1"
18598,"Maine .......................     1,018,360","677,033      66.5       647,259      63.6       29,774      4.4"
18599,"Maryland ....................     4,118,710","2,870,452      69.7     2,747,334      66.7      123,118      4.3"
18600,"Massachusetts ...............     5,012,887","3,442,962      68.7     3,254,048      64.9      188,914      5.5"
18601,"Michigan ....................     7,632,348","5,004,318      65.6     4,699,620      61.6      304,698      6.1"
18602,"Minnesota ...................     3,832,098","2,859,576      74.6     2,734,464      71.4      125,112      4.4"
18603,"Mississippi .................     2,113,865","1,286,582      60.9     1,203,301      56.9       83,281      6.5"
18604,"Missouri ....................     4,318,745","3,005,277      69.6     2,846,364      65.9      158,913      5.3"
18605,"Montana .....................       701,723","467,897      66.7       447,757      63.8       20,140      4.3"
18606,"Nebraska ....................     1,300,847","955,159      73.4       920,464      70.8       34,695      3.6"
18607,"Nevada ......................     1,646,297","1,132,117      68.8     1,071,139      65.1       60,978      5.4"
18608,"New Hampshire ...............       983,441","703,891      71.6       672,034      68.3       31,857      4.5"
18609,"New Jersey ..................     6,546,069","4,347,648      66.4     4,095,879      62.6      251,769      5.8"
18610,"New Mexico ..................     1,377,134","878,421      63.8       829,509      60.2       48,912      5.6"
18611,"New York ....................    14,756,250","9,301,647      63.0     8,742,256      59.2      559,391      6.0"
